Net ID#, Size, Fitness, Red-Green to Grey Ratio, Effective Total Benefits, Avg Degree
20,50,0.8076923076923077,2.3951168929110094,8.74,2.0
15,50,0.7831706450656737,2.082711053995883,9.92,1.96
35,50,0.7636293715849678,1.9277697921273764,10.44,2.0
12,50,0.743015219383439,2.347757308051424,8.38,1.96
24,50,0.7402138179275721,2.0111974755550595,9.86,1.96
25,50,0.7174296644956639,2.1003468066161552,9.26,2.04
19,50,0.6909542084391278,2.115098927560226,8.96,2.04
22,50,0.6057403762398514,1.9913484692122454,8.76,2.0
33,50,0.5924227853293189,2.242359089998407,7.52,2.0
30,50,0.5899006245243663,1.883985085262174,9.1,2.0
27,50,0.5775869592547132,1.9938364482095126,8.5,1.96
17,50,0.5701281284334997,2.005928539984266,8.38,1.96
6,50,0.5634745519111346,1.693065060378965,9.72,2.04
10,50,0.5521072313339156,2.1894875506330598,7.4,1.96
14,50,0.5241185644483388,1.9820582281495587,8.08,1.92
34,50,0.5222214880031185,1.8575294502539077,8.62,2.04
28,50,0.5006314370139389,1.8282618181611983,8.56,1.96
9,50,0.4891955332301221,2.065099846833592,7.4,1.96
21,50,0.4830779084355741,2.1066832805996882,7.16,2.0
5,50,0.4695246150800474,2.070939477843165,7.2,2.0
0,50,0.43506820400569635,2.043072282894263,7.02,2.0
18,50,0.41823817682241904,1.7816602356378903,8.04,1.96
16,50,0.4159355928282429,1.8397332013195515,7.76,2.04
32,50,0.4066824751543955,1.7319730048596644,8.16,2.0
13,50,0.36789784131787906,1.8207993116274839,7.42,2.04
38,50,0.3570895036150626,1.9157339521503594,6.9,1.96
26,50,0.3515041354300747,1.7839127603749345,7.44,2.0
2,50,0.3477691774500077,1.727322260642693,7.66,2.0
36,50,0.34265935498932065,1.8245773748095724,7.18,2.0
31,50,0.2903798242462159,1.5288613545411223,8.04,1.96
1,50,0.28628615026587667,1.6191790639700856,7.6,2.0
4,50,0.24241991071432217,1.6308592822053576,7.16,2.0
3,50,0.23893801911037804,1.641867983237952,7.08,2.04
23,50,0.21790076017741247,1.7478910064823372,6.42,2.0
39,50,0.2140133686914049,1.5523281758175411,7.26,1.96
7,50,0.1945669550567279,1.6659698415806232,6.58,1.96
29,50,0.14056891827647258,1.563679300164695,6.56,1.96
8,50,0.13558089829305098,1.558290346788462,6.54,1.96
37,50,0.1352042817276968,1.6738503698407445,6.02,1.96
11,50,0.076923076923077,1.4065272700856222,6.7,1.96
35,50,0.5974866821181671,2.207052942929105,10.9,2.12
19,50,0.5961967935984116,2.144556207466425,11.36,2.12
33,50,0.5954938353563052,2.144144748869982,11.34,3.4
7,50,0.5952955367913149,2.227854201526029,10.66,3.96
1,50,0.5935511252386757,2.210719534335634,10.74,2.08
28,50,0.5919703104519964,2.1470236224044283,11.2,4.0
30,50,0.5687956227211949,2.1260817728023627,10.6,2.12
39,50,0.5658854783007585,2.054420379757841,11.08,3.92
16,50,0.5621188900884988,2.135852022848153,10.3,2.12
3,50,0.5616904305508529,2.0122678736811874,11.28,3.36
18,50,0.5608992369660751,2.0661865432469155,10.82,3.44
9,50,0.5584796361048205,2.1382538697113005,10.16,2.12
13,50,0.5543107407396892,2.0986952448995804,10.34,3.96
14,50,0.5528935896380262,1.928772370216644,11.66,4.0
37,50,0.5484079936859445,2.1091697229499085,10.06,3.96
23,50,0.5435774360125366,2.0668837752374905,10.24,2.12
25,50,0.5416997039698613,2.011908324733402,10.62,3.6
12,50,0.5329495569066915,2.023076446773041,10.24,3.4
31,50,0.5280286024370124,1.9903622224868363,10.34,3.96
34,50,0.5235714617108708,1.9670180532401893,10.38,3.4
22,50,0.5159403287582947,2.0026873329628745,9.84,2.12
20,50,0.5143353754801193,1.846906850115829,11.04,4.0
10,50,0.5123564065888969,0.30980859498991725,23.34,2.16
0,50,0.5111268226502242,1.8535700982285994,10.88,3.68
17,50,0.5102857753988478,0.2092885331400202,24.08,3.36
24,50,0.509830447002847,1.8432543679230997,10.92,2.12
36,50,0.5077416247032143,1.8943103913630237,10.44,2.16
21,50,0.3940317678575599,0.7493922084383706,15.88,2.12
15,50,0.39344176258199925,1.4231748474301305,10.44,2.12
2,50,0.37635705669481306,0.16689133075172197,19.98,3.4
6,50,0.34378151264529216,0.8281639418063952,13.58,4.0
26,50,0.34195188848269525,0.8057058684116525,13.7,2.16
27,50,0.3372444790633201,0.19710058711770093,18.44,3.44
5,50,0.3332854910419837,0.7973305355605134,13.48,2.12
38,50,0.3129993197730932,0.3979798932398016,16.02,3.4
11,50,0.29825848291673446,1.396290649121447,7.5,3.96
29,50,0.24213294952326597,0.5086194359594542,12.78,3.2
8,50,0.22586794840361132,0.4888118876196874,12.4,3.2
4,50,0.22132392439341406,0.5396920842358581,11.84,3.16
32,50,0.2172221493507086,0.5302431213320764,11.78,3.2
38,50,0.9155908399370276,0.541874837969656,18.66,3.8
27,50,0.9063263844653066,0.5425514089131344,18.5,3.8
23,50,0.8931506849315067,0.5624510631818588,17.58,3.76
26,50,0.8890104705322692,0.5350904251713157,18.52,3.84
10,50,0.8739757931874462,0.5454963230653541,17.92,3.84
7,50,0.8507365950098684,0.5230899817535295,18.4,3.76
0,50,0.8425026910272011,0.5422279886930153,17.58,3.8
18,50,0.8421091476362823,0.5141754741149235,18.6,3.84
2,50,0.8387718236850598,0.5587882530872851,16.92,3.84
29,50,0.8236737918646959,0.5188477805105499,18.16,3.84
19,50,0.8146309480879212,0.5032037922485945,18.6,3.76
16,50,0.8010948196871996,0.5054565498206867,18.32,3.76
4,50,0.7901125225466632,0.511463859428811,17.94,3.8
34,50,0.7885973865010962,0.5190634085461974,17.64,3.8
20,50,0.7885256974340487,0.5272393069622834,17.34,3.76
37,50,0.7827150078190043,0.49811773389041053,18.32,3.84
28,50,0.7822056207830781,0.4940855650207843,18.46,3.8
6,50,0.7820819659264273,0.5077103961259479,17.96,3.84
