Net ID#, Size, Fitness, Red-Green to Grey Ratio, Effective Total Benefits, Avg Degree
2,20,0.8540736013614125,6.231666666666667,3.85,1.9
7,20,0.7819612848330142,5.666666666666666,3.85,2.0
1,20,0.7666666666666666,7.375,3.15,2.0
8,20,0.7324505424377791,7.237499999999999,3.1,1.9
19,20,0.7092427143161029,6.533333333333333,3.3,1.9
0,20,0.6911827270793448,5.608333333333333,3.6,1.9
14,20,0.42345245692405853,5.6,2.8,1.9
18,20,0.3948627951499681,5.898333333333333,2.6,2.1
10,20,0.3909806424165071,5.215,2.85,2.0
11,20,0.3730057434588385,6.38,2.35,1.9
3,20,0.3554031057221867,4.283333333333333,3.1,2.0
6,20,0.3537545203148266,6.229166666666667,2.35,1.9
12,20,0.3016166773027015,3.9925000000000006,3.05,2.1
16,20,0.3,3.4575000000000005,3.25,2.0
4,20,0.2825462667517548,5.018333333333333,2.6,2.1
13,20,0.2765794511805999,4.0575,2.95,1.9
17,20,0.20589236332695166,4.548333333333334,2.55,2.0
5,20,0.1801288479654784,4.8688095238095235,2.35,2.1
15,20,0.14294830887045323,4.5775000000000015,2.35,1.9
9,20,0.1022229312912145,3.8666666666666663,2.5,1.9
6,20,0.8255813953488373,8.025,3.6,1.9
11,20,0.7610381142439391,6.0233333333333325,4.2,1.9
16,20,0.7461816601134142,5.991666666666667,4.15,2.0
2,20,0.7085910177629371,6.0791666666666675,3.95,1.9
8,20,0.6857106162691905,6.425,3.7,1.9
14,20,0.6588034221809489,5.590833333333334,3.95,2.0
5,20,0.651571792693288,4.6075,4.35,1.9
0,20,0.5736598763114739,4.641666666666667,4.0,1.9
12,20,0.5261049969374247,4.403333333333334,3.9,2.0
17,20,0.48029677342870136,4.638333333333334,3.6,1.9
1,20,0.4770682262749206,4.606666666666667,3.6,1.9
4,20,0.4649700657959731,3.3474999999999993,4.1,1.9
7,20,0.4335085258145463,3.609166666666667,3.85,2.0
15,20,0.28574222995001086,4.440833333333333,2.85,1.9
10,20,0.2751970915413645,3.425,3.25,1.9
19,20,0.2508229436288554,4.098333333333334,2.85,2.0
3,20,0.23389184169449329,3.7041666666666666,2.95,1.9
13,20,0.23161960838552886,4.708333333333334,2.5,1.9
18,20,0.2093023255813954,3.1208333333333336,3.1,2.1
9,20,0.01177327345551645,3.236309523809524,2.2,1.9
5,20,0.8676964554052857,8.266666666666666,4.75,1.9
15,20,0.8611111111111112,8.391666666666667,4.65,1.9
4,20,0.7136038186157518,5.391666666666667,5.4,1.9
6,20,0.6999248651993282,5.7333333333333325,5.15,2.0
16,20,0.6451250773446477,6.614166666666667,4.4,1.9
17,20,0.6117077698223282,7.525,3.75,1.9
3,20,0.5820737204985414,6.341666666666667,4.2,1.9
8,20,0.5812958543268804,6.527499999999999,4.1,1.9
12,20,0.54946963670114,5.709166666666666,4.35,2.0
19,20,0.5428445151595509,4.960833333333333,4.7,1.9
2,20,0.5383187483426147,7.629166666666667,3.3,1.9
10,20,0.5144082029523558,6.020833333333334,4.0,1.9
11,20,0.47858658180853886,6.7125,3.45,1.9
14,20,0.4745425616547334,8.125,2.7,1.9
7,20,0.4514319809069212,5.264166666666667,4.05,1.9
13,20,0.4153716962786176,5.953333333333334,3.5,1.9
0,20,0.3407584195173693,6.141666666666666,3.0,1.8
18,20,0.3207151065146292,4.670833333333334,3.65,1.9
1,20,0.22465305400866267,4.5375000000000005,3.2,1.9
9,20,0.02777777777777776,3.1541666666666663,2.85,1.9
6,20,0.875896610726467,6.558333333333333,4.75,2.1
4,20,0.8334258745141587,5.808333333333333,4.95,2.1
5,20,0.7857142857142857,7.3083333333333345,3.9,2.2
18,20,0.7585864995637341,6.4208333333333325,4.25,2.1
8,20,0.6329231303848579,6.3,3.7,2.0
2,20,0.6327550453829505,5.195833333333334,4.3,2.1
19,20,0.6121013646991277,6.112499999999999,3.7,2.2
7,20,0.6085470279172189,5.529166666666667,4.0,2.2
16,20,0.6058689994598616,5.1375,4.2,2.2
13,20,0.5877894744794084,7.18,3.0,2.2
11,20,0.581804515254186,6.666666666666667,3.25,2.2
10,20,0.5505369277083403,5.6499999999999995,3.65,2.1
15,20,0.5491979134796616,5.454166666666666,3.75,2.1
3,20,0.5011444888893924,5.113333333333333,3.7,2.2
17,20,0.4412892308505855,4.85,3.55,2.1
14,20,0.27095302307486013,4.235,3.05,2.1
12,20,0.2448979591836735,2.805833333333333,3.7,2.2
0,20,0.22215926903798722,3.8875,3.0,2.1
1,20,0.21543586896168793,4.745833333333334,2.5,1.9
9,20,0.14208093009552522,3.625833333333334,2.75,1.9
18,20,0.7816055625790137,5.8583333333333325,6.6,2.0
6,20,0.7291666666666667,7.585833333333335,4.65,2.4
2,20,0.6370540103947182,6.6375,4.85,2.1
7,20,0.5737024160696724,5.916666666666666,5.05,2.0
13,20,0.5553536311279673,6.320833333333334,4.55,2.4
19,20,0.4858389521000138,5.8808333333333325,4.45,2.4
17,20,0.47972854333473774,6.491666666666665,3.85,2.0
4,20,0.44354895350470563,5.930833333333334,4.1,2.1
